atlas,cells,genes,total_time_s,has_cluster,cluster_score,annotation_score,batch_score,dimred_score,overall_score
TS_neural,2685,60606,67,True,0.4525828234289576,0.5063262135251432,0.17694032257169456,0.5198561377072376,0.4139263743082582
TS_skin,17786,60606,439,True,0.4048514913199166,0.4949286581920905,0.25564151171064037,0.4319919805388483,0.3968534104403739
bone_marrow,27112,60606,1239,True,0.3956627489185781,0.4200924372026085,0.22146096232403478,0.35789960435904755,0.3487789382010672
liver,22214,60606,879,True,0.37290411807550766,0.48229105877261563,0.17614094886776796,0.4010381713858693,0.35809357427544014
blood_pbmc,43512,21649,734,False,0.0,0.0,0.2972446314473902,0.2186323537158586,0.1289692462908122
blood,85233,60606,5031,True,0.46840152047287914,0.5152507783077652,0.22029657474402872,0.2917158917105155,0.37391619130879716
lung,347970,29824,1273,False,0.0,0.0,0.25102850735295534,0.24530742124252702,0.12408398214887059
TS_immune,592317,60606,5259,True,0.4072684750277331,0.49559125334757154,0.27562749893439564,0.42810539589457064,0.4016481558010677
lung_2M,2282447,55329,7219,False,0.0,0.025394620561659646,0.2831818027299796,0.3299350618196152,0.1596278712778136
